case,station,model,mode,completed,epochs,exit_code,wall_seconds,ar_attempt_epochs,wl_passed_epochs,l1_passed_epochs,newly_fixed_total,held_integer_rank_peak,newly_fixed_epochs,rms_3d_m,final_enu_m,effective_search,general_rows_total,named_recovered_total,reference_difference_m,errors,alarms,trace,integer_factor_commits,integer_factor_rows,integer_factor_l1_rows
r48u_20260914_BREW_IF_float,BREW,IF,float,True,55,0,10.773670557071455,0,0,0,0,0,0,2.6357260057770264,"[0.0649174, -0.179526, -1.4716]",[],0,0,7.694108359351668e-07,[],"{'DGEMV': 0, 'AUTHORITATIVE MEASUREMENT TRANSACTION REJECTED': 0, 'AUTHORITATIVE PREDICTION TRANSACTION REJECTED': 0}",/mnt/d/GINAN_R20/inputData/outputs/r48u_20260914_BREW_IF_float/Network-r48u_20260914_BREW_IF_float-202419900.TRACE,0,0,0
r48u_20260914_BREW_IF_round_shadow,BREW,IF,round_shadow,True,55,0,11.061434613890015,41,0,0,0,0,0,2.6357260057770264,"[0.0649174, -0.179526, -1.4716]",['ROUND'],0,0,7.694108359351668e-07,[],"{'DGEMV': 0, 'AUTHORITATIVE MEASUREMENT TRANSACTION REJECTED': 0, 'AUTHORITATIVE PREDICTION TRANSACTION REJECTED': 0}",/mnt/d/GINAN_R20/inputData/outputs/r48u_20260914_BREW_IF_round_shadow/Network-r48u_20260914_BREW_IF_round_shadow-202419900.TRACE,0,0,0
r48u_20260914_BREW_IF_round_feedback,BREW,IF,round_feedback,True,55,0,11.433195248013362,41,0,0,0,0,0,2.6357260057770264,"[0.0649174, -0.179526, -1.4716]",['ROUND'],0,0,7.694108359351668e-07,[],"{'DGEMV': 0, 'AUTHORITATIVE MEASUREMENT TRANSACTION REJECTED': 0, 'AUTHORITATIVE PREDICTION TRANSACTION REJECTED': 0}",/mnt/d/GINAN_R20/inputData/outputs/r48u_20260914_BREW_IF_round_feedback/Network-r48u_20260914_BREW_IF_round_feedback-202419900.TRACE,0,0,0
r48u_20260914_BREW_IF_ils_shadow,BREW,IF,ils_shadow,False,14,-11,9.304358719964512,0,0,0,0,0,0,0.7878534287398383,"[-0.18814, 0.150712, -0.91787]",['LAMBDA_ALT'],0,0,7.694108359351668e-07,[],"{'DGEMV': 0, 'AUTHORITATIVE MEASUREMENT TRANSACTION REJECTED': 0, 'AUTHORITATIVE PREDICTION TRANSACTION REJECTED': 0}",/mnt/d/GINAN_R20/inputData/outputs/r48u_20260914_BREW_IF_ils_shadow/Network-r48u_20260914_BREW_IF_ils_shadow-202419900.TRACE,0,0,0
r48u_20260914_BREW_IF_ils_feedback,BREW,IF,ils_feedback,False,14,-11,8.974868490011431,0,0,0,0,0,0,0.7878534287398383,"[-0.18814, 0.150712, -0.91787]",['LAMBDA_ALT'],0,0,7.694108359351668e-07,[],"{'DGEMV': 0, 'AUTHORITATIVE MEASUREMENT TRANSACTION REJECTED': 0, 'AUTHORITATIVE PREDICTION TRANSACTION REJECTED': 0}",/mnt/d/GINAN_R20/inputData/outputs/r48u_20260914_BREW_IF_ils_feedback/Network-r48u_20260914_BREW_IF_ils_feedback-202419900.TRACE,0,0,0
r48u_20260914_MARS_IF_float,MARS,IF,float,True,55,0,10.991976064979099,0,0,0,0,0,0,6.440159130814884,"[-1.49591, -2.85783, -2.81348]",[],0,0,7.195290626139301e-07,[],"{'DGEMV': 0, 'AUTHORITATIVE MEASUREMENT TRANSACTION REJECTED': 0, 'AUTHORITATIVE PREDICTION TRANSACTION REJECTED': 0}",/mnt/d/GINAN_R20/inputData/outputs/r48u_20260914_MARS_IF_float/Network-r48u_20260914_MARS_IF_float-202419900.TRACE,0,0,0
r48u_20260914_MARS_IF_round_shadow,MARS,IF,round_shadow,True,55,0,10.876505958032794,27,15,0,0,0,0,6.440159130814884,"[-1.49591, -2.85783, -2.81348]",['ROUND'],0,0,7.195290626139301e-07,[],"{'DGEMV': 0, 'AUTHORITATIVE MEASUREMENT TRANSACTION REJECTED': 0, 'AUTHORITATIVE PREDICTION TRANSACTION REJECTED': 0}",/mnt/d/GINAN_R20/inputData/outputs/r48u_20260914_MARS_IF_round_shadow/Network-r48u_20260914_MARS_IF_round_shadow-202419900.TRACE,0,0,0
r48u_20260914_MARS_IF_round_feedback,MARS,IF,round_feedback,True,55,0,10.582982240011916,27,15,0,0,0,0,6.440159130814884,"[-1.49591, -2.85783, -2.81348]",['ROUND'],0,0,7.195290626139301e-07,[],"{'DGEMV': 0, 'AUTHORITATIVE MEASUREMENT TRANSACTION REJECTED': 0, 'AUTHORITATIVE PREDICTION TRANSACTION REJECTED': 0}",/mnt/d/GINAN_R20/inputData/outputs/r48u_20260914_MARS_IF_round_feedback/Network-r48u_20260914_MARS_IF_round_feedback-202419900.TRACE,0,0,0
r48u_20260914_MARS_IF_ils_shadow,MARS,IF,ils_shadow,False,15,-11,9.27750701108016,0,0,0,0,0,0,0.7395003446763403,"[-0.17526, 0.269746, -0.221108]",[],0,0,7.195290626139301e-07,[],"{'DGEMV': 0, 'AUTHORITATIVE MEASUREMENT TRANSACTION REJECTED': 0, 'AUTHORITATIVE PREDICTION TRANSACTION REJECTED': 0}",/mnt/d/GINAN_R20/inputData/outputs/r48u_20260914_MARS_IF_ils_shadow/Network-r48u_20260914_MARS_IF_ils_shadow-202419900.TRACE,0,0,0
r48u_20260914_MARS_IF_ils_feedback,MARS,IF,ils_feedback,False,15,-11,8.85254256601911,0,0,0,0,0,0,0.7395003446763403,"[-0.17526, 0.269746, -0.221108]",[],0,0,7.195290626139301e-07,[],"{'DGEMV': 0, 'AUTHORITATIVE MEASUREMENT TRANSACTION REJECTED': 0, 'AUTHORITATIVE PREDICTION TRANSACTION REJECTED': 0}",/mnt/d/GINAN_R20/inputData/outputs/r48u_20260914_MARS_IF_ils_feedback/Network-r48u_20260914_MARS_IF_ils_feedback-202419900.TRACE,0,0,0
r48u_20260914_JPLM_IF_float,JPLM,IF,float,True,55,0,10.487035242957063,0,0,0,0,0,0,1.7640057239493594,"[-0.214287, -0.142537, -2.61548]",[],0,0,6.082331478698632e-07,[],"{'DGEMV': 0, 'AUTHORITATIVE MEASUREMENT TRANSACTION REJECTED': 0, 'AUTHORITATIVE PREDICTION TRANSACTION REJECTED': 0}",/mnt/d/GINAN_R20/inputData/outputs/r48u_20260914_JPLM_IF_float/Network-r48u_20260914_JPLM_IF_float-202419900.TRACE,0,0,0
r48u_20260914_JPLM_IF_round_shadow,JPLM,IF,round_shadow,True,55,0,10.352981613948941,40,0,0,0,0,0,1.7640057239493594,"[-0.214287, -0.142537, -2.61548]",['ROUND'],0,0,6.082331478698632e-07,[],"{'DGEMV': 0, 'AUTHORITATIVE MEASUREMENT TRANSACTION REJECTED': 0, 'AUTHORITATIVE PREDICTION TRANSACTION REJECTED': 0}",/mnt/d/GINAN_R20/inputData/outputs/r48u_20260914_JPLM_IF_round_shadow/Network-r48u_20260914_JPLM_IF_round_shadow-202419900.TRACE,0,0,0
r48u_20260914_JPLM_IF_round_feedback,JPLM,IF,round_feedback,True,55,0,10.468182396958582,40,0,0,0,0,0,1.7640057239493594,"[-0.214287, -0.142537, -2.61548]",['ROUND'],0,0,6.082331478698632e-07,[],"{'DGEMV': 0, 'AUTHORITATIVE MEASUREMENT TRANSACTION REJECTED': 0, 'AUTHORITATIVE PREDICTION TRANSACTION REJECTED': 0}",/mnt/d/GINAN_R20/inputData/outputs/r48u_20260914_JPLM_IF_round_feedback/Network-r48u_20260914_JPLM_IF_round_feedback-202419900.TRACE,0,0,0
r48u_20260914_JPLM_IF_ils_shadow,JPLM,IF,ils_shadow,False,14,-11,8.87549191096332,0,0,0,0,0,0,1.6598660860600858,"[-0.352775, 0.176803, -0.0851525]",[],0,0,6.082331478698632e-07,[],"{'DGEMV': 0, 'AUTHORITATIVE MEASUREMENT TRANSACTION REJECTED': 0, 'AUTHORITATIVE PREDICTION TRANSACTION REJECTED': 0}",/mnt/d/GINAN_R20/inputData/outputs/r48u_20260914_JPLM_IF_ils_shadow/Network-r48u_20260914_JPLM_IF_ils_shadow-202419900.TRACE,0,0,0
r48u_20260914_JPLM_IF_ils_feedback,JPLM,IF,ils_feedback,False,14,-11,9.054410501033999,0,0,0,0,0,0,1.6598660860600858,"[-0.352775, 0.176803, -0.0851525]",[],0,0,6.082331478698632e-07,[],"{'DGEMV': 0, 'AUTHORITATIVE MEASUREMENT TRANSACTION REJECTED': 0, 'AUTHORITATIVE PREDICTION TRANSACTION REJECTED': 0}",/mnt/d/GINAN_R20/inputData/outputs/r48u_20260914_JPLM_IF_ils_feedback/Network-r48u_20260914_JPLM_IF_ils_feedback-202419900.TRACE,0,0,0
r48u_20260914_DYNG_UDUC_float,DYNG,UDUC,float,True,55,0,10.154485728009604,0,0,0,0,0,0,0.6426030521264907,"[0.0144822, -0.133583, 0.457074]",[],0,0,4.3041192689816266e-07,[],"{'DGEMV': 0, 'AUTHORITATIVE MEASUREMENT TRANSACTION REJECTED': 0, 'AUTHORITATIVE PREDICTION TRANSACTION REJECTED': 0}",/mnt/d/GINAN_R20/inputData/outputs/r48u_20260914_DYNG_UDUC_float/Network-r48u_20260914_DYNG_UDUC_float-202419900.TRACE,0,0,0
r48u_20260914_DYNG_UDUC_round_shadow,DYNG,UDUC,round_shadow,True,55,0,10.10910793300718,27,19,0,0,0,0,0.6426030521264907,"[0.0144822, -0.133583, 0.457074]",['ROUND'],0,0,4.3041192689816266e-07,[],"{'DGEMV': 0, 'AUTHORITATIVE MEASUREMENT TRANSACTION REJECTED': 0, 'AUTHORITATIVE PREDICTION TRANSACTION REJECTED': 0}",/mnt/d/GINAN_R20/inputData/outputs/r48u_20260914_DYNG_UDUC_round_shadow/Network-r48u_20260914_DYNG_UDUC_round_shadow-202419900.TRACE,0,0,0
r48u_20260914_DYNG_UDUC_round_feedback,DYNG,UDUC,round_feedback,False,29,1,7.77164767193608,2,1,0,3,3,1,0.682746650217257,"[0.176094, -0.238289, 0.704016]",['ROUND'],0,0,4.3041192689816266e-07,"['Error: ZHANG_E18_FACTOR_CAPTURE time=2024-07-17 00:17:30 event=STATE_TRANSITION status=REJECTED failure_reason=AUTHORITATIVE_TRANSITION_COMMIT_MISMATCH feedback=0\x1b[0m', 'Error: PPP epoch transaction failed closed at 2024-07-17 00:17:30.00\x1b[0m', 'Error: E29 deterministic checkpoint run failed: AUTHORITATIVE_PPP_FACTOR_TRANSACTION_FAILED:2024-07-17 00:17:30\x1b[0m']","{'DGEMV': 0, 'AUTHORITATIVE MEASUREMENT TRANSACTION REJECTED': 0, 'AUTHORITATIVE PREDICTION TRANSACTION REJECTED': 1}",/mnt/d/GINAN_R20/inputData/outputs/r48u_20260914_DYNG_UDUC_round_feedback/Network-r48u_20260914_DYNG_UDUC_round_feedback-202419900.TRACE,0,0,0
r48u_20260914_DYNG_UDUC_ils_shadow,DYNG,UDUC,ils_shadow,False,15,-11,9.315741423051804,0,0,0,0,0,0,0.6697150114563447,"[0.0916632, -0.154726, 0.368606]",[],0,0,4.3041192689816266e-07,[],"{'DGEMV': 0, 'AUTHORITATIVE MEASUREMENT TRANSACTION REJECTED': 0, 'AUTHORITATIVE PREDICTION TRANSACTION REJECTED': 0}",/mnt/d/GINAN_R20/inputData/outputs/r48u_20260914_DYNG_UDUC_ils_shadow/Network-r48u_20260914_DYNG_UDUC_ils_shadow-202419900.TRACE,0,0,0
r48u_20260914_DYNG_UDUC_ils_feedback,DYNG,UDUC,ils_feedback,False,15,-11,8.885690096998587,0,0,0,0,0,0,0.6697150114563447,"[0.0916632, -0.154726, 0.368606]",[],0,0,4.3041192689816266e-07,[],"{'DGEMV': 0, 'AUTHORITATIVE MEASUREMENT TRANSACTION REJECTED': 0, 'AUTHORITATIVE PREDICTION TRANSACTION REJECTED': 0}",/mnt/d/GINAN_R20/inputData/outputs/r48u_20260914_DYNG_UDUC_ils_feedback/Network-r48u_20260914_DYNG_UDUC_ils_feedback-202419900.TRACE,0,0,0
r48u_20260914_NICO_UDUC_float,NICO,UDUC,float,True,55,0,10.371605962980539,0,0,0,0,0,0,0.34874662522429695,"[0.129332, -0.0443036, -0.0754722]",[],0,0,4.055105116967148e-07,[],"{'DGEMV': 0, 'AUTHORITATIVE MEASUREMENT TRANSACTION REJECTED': 0, 'AUTHORITATIVE PREDICTION TRANSACTION REJECTED': 0}",/mnt/d/GINAN_R20/inputData/outputs/r48u_20260914_NICO_UDUC_float/Network-r48u_20260914_NICO_UDUC_float-202419900.TRACE,0,0,0
r48u_20260914_NICO_UDUC_round_shadow,NICO,UDUC,round_shadow,True,55,0,10.53490452398546,27,22,0,0,0,0,0.34874662522429695,"[0.129332, -0.0443036, -0.0754722]",['ROUND'],0,0,4.055105116967148e-07,[],"{'DGEMV': 0, 'AUTHORITATIVE MEASUREMENT TRANSACTION REJECTED': 0, 'AUTHORITATIVE PREDICTION TRANSACTION REJECTED': 0}",/mnt/d/GINAN_R20/inputData/outputs/r48u_20260914_NICO_UDUC_round_shadow/Network-r48u_20260914_NICO_UDUC_round_shadow-202419900.TRACE,0,0,0
r48u_20260914_NICO_UDUC_round_feedback,NICO,UDUC,round_feedback,False,33,1,8.368789148051292,6,1,0,3,3,1,0.42355786797565187,"[0.179881, -0.0530947, 0.0641007]",['ROUND'],0,0,4.055105116967148e-07,"['Error: ZHANG_E18_FACTOR_CAPTURE time=2024-07-17 00:19:30 event=STATE_TRANSITION status=REJECTED failure_reason=AUTHORITATIVE_TRANSITION_COMMIT_MISMATCH feedback=0\x1b[0m', 'Error: PPP epoch transaction failed closed at 2024-07-17 00:19:30.00\x1b[0m', 'Error: E29 deterministic checkpoint run failed: AUTHORITATIVE_PPP_FACTOR_TRANSACTION_FAILED:2024-07-17 00:19:30\x1b[0m']","{'DGEMV': 0, 'AUTHORITATIVE MEASUREMENT TRANSACTION REJECTED': 0, 'AUTHORITATIVE PREDICTION TRANSACTION REJECTED': 1}",/mnt/d/GINAN_R20/inputData/outputs/r48u_20260914_NICO_UDUC_round_feedback/Network-r48u_20260914_NICO_UDUC_round_feedback-202419900.TRACE,0,0,0
r48u_20260914_NICO_UDUC_ils_shadow,NICO,UDUC,ils_shadow,False,15,-11,9.450806943001226,0,0,0,0,0,0,0.5756250093387807,"[-0.118997, 0.0102716, 0.0972823]",[],0,0,4.055105116967148e-07,[],"{'DGEMV': 0, 'AUTHORITATIVE MEASUREMENT TRANSACTION REJECTED': 0, 'AUTHORITATIVE PREDICTION TRANSACTION REJECTED': 0}",/mnt/d/GINAN_R20/inputData/outputs/r48u_20260914_NICO_UDUC_ils_shadow/Network-r48u_20260914_NICO_UDUC_ils_shadow-202419900.TRACE,0,0,0
r48u_20260914_NICO_UDUC_ils_feedback,NICO,UDUC,ils_feedback,False,15,-11,9.068116249050945,0,0,0,0,0,0,0.5756250093387807,"[-0.118997, 0.0102716, 0.0972823]",[],0,0,4.055105116967148e-07,[],"{'DGEMV': 0, 'AUTHORITATIVE MEASUREMENT TRANSACTION REJECTED': 0, 'AUTHORITATIVE PREDICTION TRANSACTION REJECTED': 0}",/mnt/d/GINAN_R20/inputData/outputs/r48u_20260914_NICO_UDUC_ils_feedback/Network-r48u_20260914_NICO_UDUC_ils_feedback-202419900.TRACE,0,0,0
r48u_20260914_BREW_UDUC_float,BREW,UDUC,float,True,55,0,10.26634931389708,0,0,0,0,0,0,0.28260719134839973,"[0.0950246, 0.0189214, 0.0164348]",[],0,0,7.694108359351668e-07,[],"{'DGEMV': 0, 'AUTHORITATIVE MEASUREMENT TRANSACTION REJECTED': 0, 'AUTHORITATIVE PREDICTION TRANSACTION REJECTED': 0}",/mnt/d/GINAN_R20/inputData/outputs/r48u_20260914_BREW_UDUC_float/Network-r48u_20260914_BREW_UDUC_float-202419900.TRACE,0,0,0
r48u_20260914_BREW_UDUC_round_shadow,BREW,UDUC,round_shadow,True,55,0,10.612983850995079,38,19,5,0,0,0,0.28260719134839973,"[0.0950246, 0.0189214, 0.0164348]",['ROUND'],0,0,7.694108359351668e-07,[],"{'DGEMV': 0, 'AUTHORITATIVE MEASUREMENT TRANSACTION REJECTED': 0, 'AUTHORITATIVE PREDICTION TRANSACTION REJECTED': 0}",/mnt/d/GINAN_R20/inputData/outputs/r48u_20260914_BREW_UDUC_round_shadow/Network-r48u_20260914_BREW_UDUC_round_shadow-202419900.TRACE,0,0,0
r48u_20260914_BREW_UDUC_round_feedback,BREW,UDUC,round_feedback,False,36,1,8.72702778200619,19,1,0,2,2,1,0.3318882647679617,"[0.152224, 0.0181238, 0.0362011]",['ROUND'],0,0,7.694108359351668e-07,"['Error: ZHANG_E18_FACTOR_CAPTURE time=2024-07-17 00:21:00 event=STATE_TRANSITION status=REJECTED failure_reason=AUTHORITATIVE_TRANSITION_COMMIT_MISMATCH feedback=0\x1b[0m', 'Error: PPP epoch transaction failed closed at 2024-07-17 00:21:00.00\x1b[0m', 'Error: E29 deterministic checkpoint run failed: AUTHORITATIVE_PPP_FACTOR_TRANSACTION_FAILED:2024-07-17 00:21:00\x1b[0m']","{'DGEMV': 0, 'AUTHORITATIVE MEASUREMENT TRANSACTION REJECTED': 0, 'AUTHORITATIVE PREDICTION TRANSACTION REJECTED': 1}",/mnt/d/GINAN_R20/inputData/outputs/r48u_20260914_BREW_UDUC_round_feedback/Network-r48u_20260914_BREW_UDUC_round_feedback-202419900.TRACE,0,0,0
r48u_20260914_BREW_UDUC_ils_shadow,BREW,UDUC,ils_shadow,False,17,-11,9.444792725029401,0,0,0,0,0,0,0.46940762284939386,"[-0.0287495, 0.0318878, 0.0424187]",[],0,0,7.694108359351668e-07,[],"{'DGEMV': 0, 'AUTHORITATIVE MEASUREMENT TRANSACTION REJECTED': 0, 'AUTHORITATIVE PREDICTION TRANSACTION REJECTED': 0}",/mnt/d/GINAN_R20/inputData/outputs/r48u_20260914_BREW_UDUC_ils_shadow/Network-r48u_20260914_BREW_UDUC_ils_shadow-202419900.TRACE,0,0,0
r48u_20260914_BREW_UDUC_ils_feedback,BREW,UDUC,ils_feedback,False,17,-11,8.984597316943109,0,0,0,0,0,0,0.46940762284939386,"[-0.0287495, 0.0318878, 0.0424187]",[],0,0,7.694108359351668e-07,[],"{'DGEMV': 0, 'AUTHORITATIVE MEASUREMENT TRANSACTION REJECTED': 0, 'AUTHORITATIVE PREDICTION TRANSACTION REJECTED': 0}",/mnt/d/GINAN_R20/inputData/outputs/r48u_20260914_BREW_UDUC_ils_feedback/Network-r48u_20260914_BREW_UDUC_ils_feedback-202419900.TRACE,0,0,0
r48u_20260914_MARS_UDUC_float,MARS,UDUC,float,True,55,0,10.121145331999287,0,0,0,0,0,0,0.3850299004159496,"[0.0194424, 0.071585, -0.0836817]",[],0,0,7.195290626139301e-07,[],"{'DGEMV': 0, 'AUTHORITATIVE MEASUREMENT TRANSACTION REJECTED': 0, 'AUTHORITATIVE PREDICTION TRANSACTION REJECTED': 0}",/mnt/d/GINAN_R20/inputData/outputs/r48u_20260914_MARS_UDUC_float/Network-r48u_20260914_MARS_UDUC_float-202419900.TRACE,0,0,0
r48u_20260914_MARS_UDUC_round_shadow,MARS,UDUC,round_shadow,True,55,0,10.357679667067714,27,21,0,0,0,0,0.3850299004159496,"[0.0194424, 0.071585, -0.0836817]",['ROUND'],0,0,7.195290626139301e-07,[],"{'DGEMV': 0, 'AUTHORITATIVE MEASUREMENT TRANSACTION REJECTED': 0, 'AUTHORITATIVE PREDICTION TRANSACTION REJECTED': 0}",/mnt/d/GINAN_R20/inputData/outputs/r48u_20260914_MARS_UDUC_round_shadow/Network-r48u_20260914_MARS_UDUC_round_shadow-202419900.TRACE,0,0,0
r48u_20260914_MARS_UDUC_round_feedback,MARS,UDUC,round_feedback,False,16,1,6.842000741045922,1,1,0,1,1,1,0.6219312301594454,"[-0.187595, 0.00722407, -0.109916]",['ROUND'],0,0,7.195290626139301e-07,"['Error: ZHANG_E18_FACTOR_CAPTURE time=2024-07-17 00:11:00 event=STATE_TRANSITION status=REJECTED failure_reason=AUTHORITATIVE_TRANSITION_COMMIT_MISMATCH feedback=0\x1b[0m', 'Error: PPP epoch transaction failed closed at 2024-07-17 00:11:00.00\x1b[0m', 'Error: E29 deterministic checkpoint run failed: AUTHORITATIVE_PPP_FACTOR_TRANSACTION_FAILED:2024-07-17 00:11:00\x1b[0m']","{'DGEMV': 0, 'AUTHORITATIVE MEASUREMENT TRANSACTION REJECTED': 0, 'AUTHORITATIVE PREDICTION TRANSACTION REJECTED': 1}",/mnt/d/GINAN_R20/inputData/outputs/r48u_20260914_MARS_UDUC_round_feedback/Network-r48u_20260914_MARS_UDUC_round_feedback-202419900.TRACE,0,0,0
r48u_20260914_MARS_UDUC_ils_shadow,MARS,UDUC,ils_shadow,False,15,-11,9.709512570989318,0,0,0,0,0,0,0.6398671571763362,"[-0.184434, 6.15184e-05, -0.153219]",['LAMBDA_ALT'],1,1,7.195290626139301e-07,[],"{'DGEMV': 0, 'AUTHORITATIVE MEASUREMENT TRANSACTION REJECTED': 0, 'AUTHORITATIVE PREDICTION TRANSACTION REJECTED': 0}",/mnt/d/GINAN_R20/inputData/outputs/r48u_20260914_MARS_UDUC_ils_shadow/Network-r48u_20260914_MARS_UDUC_ils_shadow-202419900.TRACE,0,0,0
r48u_20260914_MARS_UDUC_ils_feedback,MARS,UDUC,ils_feedback,False,15,-11,9.424448553007096,0,0,0,0,0,0,0.6398671571763362,"[-0.184434, 6.15184e-05, -0.153219]",['LAMBDA_ALT'],1,1,7.195290626139301e-07,[],"{'DGEMV': 0, 'AUTHORITATIVE MEASUREMENT TRANSACTION REJECTED': 0, 'AUTHORITATIVE PREDICTION TRANSACTION REJECTED': 0}",/mnt/d/GINAN_R20/inputData/outputs/r48u_20260914_MARS_UDUC_ils_feedback/Network-r48u_20260914_MARS_UDUC_ils_feedback-202419900.TRACE,0,0,0
